特征路径,缺失数量,缺失比例,取值范围
text_features.content.word_count,264,2.20%,"[0.0, 34789.0]"
text_features.content.url_count,264,2.20%,"[0.0, 237.0]"
text_features.content.spelling_errors,264,2.20%,"[0.0, 20.0]"
text_features.content.grammar_errors,264,2.20%,"[0.0, 45.0]"
text_features.content.suspicious_keywords,8301,69.17%,"元素数量：[1, 13]，典型元素：['expedited', 'cost']"
text_features.content.urgency_words_count,264,2.20%,"[0.0, 38.0]"
text_features.content.contains_personal_information_request,264,2.20%,True（881次）、False（10855次）
text_features.content.contains_abnormal_financial_request,264,2.20%,True（1890次）、False（9846次）
text_features.content.text_complexity,264,2.20%,"[0.0, 85.3]"
text_features.content.text_similarity_to_legitimate_emails,264,2.20%,"[0.0, 1.0]"
text_features.content.language,264,2.20%,"唯一值：['en', 'es', 'de', 'sl', 'unknown', 'English', 'fi', 'fr', 'ga', 'pt', 'nl', 'pt-BR', 'pt-br', 'it', 'en-IN', 'zh', 'French', 'Portuguese', 'mixed', 'multi-language', 'zh-hant', 'multilingual', 'ja', 'zh_CN', 'zh-CN']（共25种）"
text_features.content.contains_obfuscated_text,264,2.20%,True（616次）、False（11120次）
text_features.content.requests_otp_or_mfa,264,2.20%,True（19次）、False（11717次）
text_features.content.contains_phishing_call_to_action,264,2.20%,True（5147次）、False（6589次）
text_features.content.text_sentiment,264,2.20%,"唯一值：['Neutral', 'unknown', 'Negative', 'Positive', 'neutral-negative', 'promotional', 'neutral-positive', 'technical', 'satirical', 'neutral_negative', 'neutral_to_positive', 'persuasive', 'Persuasive', 'mixed', 'explicit', 'cautionary', 'neutral_with_urgency', 'seductive', 'neutral_positive', 'warning']（共20种）"
text_features.content.text_sentiment_score,264,2.20%,"[-0.85, 0.9]"
url_intelligence_features.basic.domain_length,2078,17.32%,"[0.0, 108.0]"
url_intelligence_features.basic.dot_count,2078,17.32%,"[0.0, 10.0]"
url_intelligence_features.basic.contains_ip_address,2078,17.32%,True（114次）、False（9808次）
url_intelligence_features.basic.contains_at_symbol,2078,17.32%,True（864次）、False（9058次）
url_intelligence_features.basic.contains_hyphen,2078,17.32%,True（1804次）、False（8118次）
url_intelligence_features.basic.path_length,2078,17.32%,"[0.0, 2498.0]"
url_intelligence_features.basic.subdomains_count,2078,17.32%,"[0.0, 6.0]"
url_intelligence_features.basic.tld,2078,17.32%,"唯一值：['edu', 'org', 'com', 'unknown', 'nz', 'net', '.cc', '.com', '.net', 'rs', 'ch', 'it', 'se', 'de', 'uk', 'gov', 'localhost', 'ca', '.org', 'co.uk', 'fr', 'us', 'si', 'ie', 'eu', 'ac.uk', 'info', 'pl', 'lu', 'cc', 'hu', 'cz', 'be', 'sg', 'nl', 'cn', 'st', 'es', 'sk', 'co.nz', 'ac.nz', 'net.au', '.edu', 'com.br', 'ac.jp', 'fi', 'in', 'me.uk', 'gr', 'com.au', '.com.au', 'at', 'pt', 'edu.au', 'au', '.se', 'no', '.nz', 'am', 'tf', 'tk', 'org.pl', 'ru', '.co.uk', 'il', 'nu', 'co.jp', 'tw', 'co', '.com.br', 'ms', 'kr', 'page', 'icu', '.info', 'me', '.co', 'fun', 'app', 'ws', '.tk', 'gd', 'bio', 'ly', 'co.ua', 'life', '.pl', 'best', '.kr', 'gov.uk', 'shop', 'xyz', 'online', 'click', 'art', 'moe', 'pro', 'hair', 'one', 'cf', '.fr', 'gl', 'to', 'link', '.best', 'io', 'boats', 'tech', 'sv', 'care', 'makeup', 'id', 'store', 'gy', 'cl', 'ru.com', '.online', 'ir', 'mom', 'com.ua', '.jp', 'blog', 'digital', 'in.ua', 'ro', 'co.kr', 'pw', 'com.tw', 'org.uk', '.ro', 'runapp', '.rs', '.org.uk', 'co.in', 'edu.ar', 'jp.net', 'top', '.ru', '.com.ua', 'lc', '.com.mx', 'ua', 'biz', 'trade', '.com.co', 'vip', 'bradesco', 'argnnas6', '.vg', 'cfd', 'club', 'ptd', 'biz.ua', 'quest', '.bio', 'com.py', 'network', 'ee', '.br', 'bid', 'gi', 'dev', 'lat', '.co.in', 'ph', '.tech', 'buzz', 'com.ru', 'su', 'live', 'com.hk', 'co.id', '.cn', 'gov.cn', 'ink', '.hk', '.sg', 'com.cn', 'jp', 'com.ng', 'org.cn', 'ga', 'asia', 'edu.sg', '.co.jp', '.org.cn']（共186种）"
url_intelligence_features.basic.query_params_count,2078,17.32%,"[0.0, 30.0]"
url_intelligence_features.basic.has_suspicious_query_params,2078,17.32%,True（2079次）、False（7843次）
url_intelligence_features.basic.suspicious_query_params,9921,82.67%,"元素数量：[1, 22]，典型元素：['nlid']"
url_intelligence_features.reputation_and_risk.is_blacklisted,2078,17.32%,True（1次）、False（9921次）
url_intelligence_features.reputation_and_risk.risk_score,2078,17.32%,"[0.0, 80.0]"
url_intelligence_features.reputation_and_risk.redirect_count,2078,17.32%,"[0.0, 3.0]"
url_intelligence_features.reputation_and_risk.domain_age_days,2078,17.32%,"[0.0, 31536000.0]"
url_intelligence_features.reputation_and_risk.whois_hidden,2078,17.32%,True（4974次）、False（4948次）
url_intelligence_features.reputation_and_risk.domain_similarity_score,2078,17.32%,"[0.0, 1.0]"
url_intelligence_features.reputation_and_risk.contains_suspicious_keywords,2078,17.32%,True（202次）、False（9720次）
url_intelligence_features.reputation_and_risk.brand_similarity_score,2078,17.32%,"[0.0, 1.0]"
url_intelligence_features.reputation_and_risk.ssl_https,2078,17.32%,True（2510次）、False（7412次）
url_intelligence_features.reputation_and_risk.ssl_certificate_status,2078,17.32%,"唯一值：['unknown', 'unsigned', 'valid']（共3种）"
url_intelligence_features.reputation_and_risk.ca_trust_score,2078,17.32%,"[0.0, 1.0]"
url_intelligence_features.reputation_and_risk.suspicious_subdomains,11961,99.67%,"元素数量：[1, 4]，典型元素：['bq11v59f', 'r']"
image_features.layout.contains_login_form,6918,57.65%,True（43次）、False（5039次）
image_features.layout.contains_bank_card_input,6918,57.65%,True（1次）、False（5081次）
image_features.layout.form_present,6918,57.65%,True（1031次）、False（4051次）
image_features.layout.login_form_detected,6918,57.65%,True（42次）、False（5040次）
image_features.layout.element_complexity,6918,57.65%,"[0.0, 0.85]"
image_features.visual_similarity.logo_similarity_to_known_brands,6918,57.65%,"[0.0, 0.95]"
image_features.visual_similarity.favicon_matches_brand,6918,57.65%,True（259次）、False（4692次）
image_features.visual_similarity.brand_visual_similarity,6918,57.65%,"[0.0, 0.95]"
image_features.visual_similarity.visual_similarity_score,6918,57.65%,"[0.0, 0.95]"
image_features.visual_similarity.brand_mismatch,6918,57.65%,True（529次）、False（4552次）
image_features.visual_similarity.suspicious_ui_layout,6918,57.65%,True（310次）、False（4772次）
image_features.risk_elements.suspicious_links,6918,57.65%,"[0.0, 3.0]"
image_features.risk_elements.contains_suspicious_popup,6918,57.65%,True（15次）、False（5067次）
image_features.risk_elements.suspicious_visual_elements,6918,57.65%,"[0.0, 3.0]"
image_features.risk_elements.visual_phishing_risk,6918,57.65%,"[0.0, 0.8]"
image_features.risk_elements.image_text_keywords,7714,64.28%,"元素数量：[1, 37]，典型元素：[""This page doesn't seem to exist.""]"
website_features.structure.form_count,1529,12.74%,"[0.0, 11.0]"
website_features.structure.external_link_count,1529,12.74%,"[0.0, 161.0]"
website_features.structure.script_count,1529,12.74%,"[0.0, 70.0]"
website_features.structure.iframe_count,1529,12.74%,"[0.0, 5.0]"
website_features.structure.input_form_count,1529,12.74%,"[0.0, 25.0]"
website_features.structure.hidden_inputs_count,1529,12.74%,"[0.0, 22.0]"
website_features.structure.contains_iframe,1529,12.74%,True（194次）、False（10277次）
website_features.structure.meta_redirect,1529,12.74%,True（271次）、False（10200次）
website_features.content.title_url_relevance,1529,12.74%,"[0.0, 1.0]"
website_features.content.content_similarity_to_legitimate_site,1529,12.74%,"[0.0, 1.0]"
website_features.content.contains_abnormal_redirect,1529,12.74%,True（367次）、False（10104次）
website_features.content.contains_hidden_elements,1529,12.74%,True（873次）、False（9598次）
website_features.content.privacy_policy_valid,1529,12.74%,True（646次）、False（9816次）
